Pop,year,Ewes,Rams,Lambs,PneuLamb,PneuAd,PneuRam,PneuEwe,PopTot,PopAdults
Asotin,1991,,,,,,,,,
Asotin,1992,,,,,,,,,
Asotin,1993,,,,,,,,,
Asotin,1994,,,,,,,,,
Asotin,1995,,,,,,,,,
Asotin,1996,5.0,2.0,3.0,,,,,10.0,7.0
Asotin,1997,13.0,7.0,1.0,,0.0,0.0,0.0,21.0,20.0
Asotin,1998,11.0,6.0,7.0,0.0,0.0,0.0,0.0,24.0,17.0
Asotin,1999,15.0,6.0,8.0,0.0,0.0,0.0,0.0,29.0,21.0
Asotin,2000,23.0,8.0,3.0,0.0,0.0,0.0,0.0,34.0,31.0
Asotin,2001,18.0,9.0,9.0,0.0,0.0,0.0,0.0,36.0,27.0
Asotin,2002,23.0,8.0,11.0,0.0,0.0,0.0,0.0,42.0,31.0
Asotin,2003,22.0,12.0,12.0,0.0,0.0,0.0,0.0,46.0,34.0
Asotin,2004,26.0,10.0,8.0,0.0,0.0,0.0,0.0,44.0,36.0
Asotin,2005,34.0,16.0,13.0,0.0,0.0,0.0,0.0,63.0,50.0
Asotin,2006,30.0,20.0,10.0,0.0,0.0,0.0,0.0,60.0,50.0
Asotin,2007,40.0,27.0,13.0,0.0,0.0,0.0,0.0,80.0,67.0
Asotin,2008,48.0,27.0,18.0,0.0,0.0,0.0,0.0,93.0,75.0
Asotin,2009,46.0,37.0,17.0,0.0,0.0,0.0,0.0,100.0,83.0
Asotin,2010,40.0,38.0,23.0,0.0,0.0,0.0,0.0,101.0,78.0
Asotin,2011,25.0,32.0,12.0,1.0,1.0,0.0,1.0,69.0,57.0
Asotin,2012,32.0,27.0,5.0,2.0,0.0,0.0,0.0,64.0,59.0
Asotin,2013,29.0,27.0,9.0,0.0,0.0,0.0,0.0,65.0,56.0
Asotin,2014,24.0,17.0,13.0,0.0,0.0,0.0,0.0,54.0,41.0
Asotin,2015,32.0,24.0,16.0,0.0,0.0,0.0,0.0,72.0,56.0
Bear Creek,1975,,,,,,,,,
Bear Creek,1976,,,,,,,,,
Bear Creek,1977,,,,,,,,,
Bear Creek,1978,,,,,,,,,
Bear Creek,1979,,,,,,,,,
Bear Creek,1980,,,,,,,,,
Bear Creek,1981,,,,,,,,,
Bear Creek,1982,,,,,,,,,
Bear Creek,1983,,,,,,,,,
Bear Creek,1984,,,,,,,,,
Bear Creek,1985,,,,,,,,,
Bear Creek,1986,5.0,1.0,2.0,,,,,8.0,6.0
Bear Creek,1987,9.0,2.0,2.0,,,,,13.0,11.0
Bear Creek,1988,8.0,1.0,3.0,,,,,12.0,9.0
Bear Creek,1989,10.0,6.0,5.0,,,,,21.0,16.0
Bear Creek,1990,11.0,6.0,8.0,,,,,25.0,17.0
Bear Creek,1991,7.0,6.0,5.0,,,,,18.0,13.0
Bear Creek,1992,10.0,12.0,6.0,,,,,28.0,22.0
Bear Creek,1993,10.0,7.0,6.0,,,,,23.0,17.0
Bear Creek,1994,11.0,11.0,6.0,,,,,28.0,22.0
Bear Creek,1995,8.0,12.0,6.0,,,,,26.0,20.0
Bear Creek,1996,11.0,8.0,8.0,,,,,27.0,19.0
Bear Creek,1997,9.0,5.0,6.0,,,,,20.0,14.0
Bear Creek,1998,13.0,7.0,6.0,,,,,26.0,20.0
Bear Creek,1999,12.0,3.0,4.0,,,,,19.0,15.0
Bear Creek,2000,10.0,10.0,5.0,,,,,25.0,20.0
Bear Creek,2001,13.0,10.0,6.0,,,,,29.0,23.0
Bear Creek,2002,10.0,12.0,4.0,,1.0,,1.0,26.0,22.0
Bear Creek,2003,12.0,9.0,3.0,,,,,24.0,21.0
Bear Creek,2004,8.0,4.0,3.0,,,,,15.0,12.0
Bear Creek,2005,19.0,8.0,14.0,,,,,41.0,27.0
Bear Creek,2006,21.0,6.0,11.0,,,,,38.0,27.0
Bear Creek,2007,18.0,5.0,5.0,,,,,28.0,23.0
Bear Creek,2008,20.0,9.0,10.0,,,,,39.0,29.0
Bear Creek,2009,22.0,10.0,12.0,,,,,44.0,32.0
Bear Creek,2010,21.0,0.0,15.0,,,,,36.0,21.0
Bear Creek,2011,26.0,4.0,12.0,,,,,42.0,30.0
Bear Creek,2012,29.0,16.0,2.0,,,,,47.0,45.0
Bear Creek,2013,27.0,3.0,11.0,,,,,41.0,30.0
Bear Creek,2014,42.0,7.0,15.0,,,,,64.0,49.0
Bear Creek,2015,24.0,6.0,13.0,,,,,43.0,30.0
Big Canyon,1997,12.0,3.0,0.0,,,0.0,,15.0,15.0
Big Canyon,1998,15.0,5.0,7.0,0.0,0.0,0.0,0.0,27.0,20.0
Big Canyon,1999,17.0,8.0,12.0,0.0,0.0,0.0,0.0,37.0,25.0
Big Canyon,2000,16.0,8.0,1.0,1.0,1.0,0.0,1.0,25.0,24.0
Big Canyon,2001,19.0,9.0,4.0,0.0,1.0,1.0,0.0,32.0,28.0
Big Canyon,2002,20.0,12.0,0.0,1.0,0.0,0.0,0.0,32.0,32.0
Big Canyon,2003,12.0,7.0,2.0,2.0,1.0,0.0,1.0,21.0,19.0
Big Canyon,2004,7.0,8.0,2.0,2.0,0.0,0.0,0.0,17.0,15.0
Big Canyon,2005,9.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.0
Big Canyon,2006,10.0,4.0,5.0,3.0,0.0,0.0,0.0,19.0,14.0
Big Canyon,2007,9.0,8.0,0.0,2.0,1.0,1.0,0.0,17.0,17.0
Big Canyon,2008,9.0,6.0,1.0,2.0,0.0,0.0,0.0,16.0,15.0
Big Canyon,2009,12.0,7.0,3.0,2.0,0.0,0.0,0.0,22.0,19.0
Big Canyon,2010,12.0,6.0,1.0,2.0,0.0,0.0,0.0,19.0,18.0
Big Canyon,2011,11.0,5.0,3.0,,,,,19.0,16.0
Big Canyon,2012,10.0,8.0,4.0,,,,,22.0,18.0
Big Canyon,2013,9.0,10.0,0.0,2.0,0.0,0.0,0.0,19.0,19.0
Big Canyon,2014,8.0,9.0,2.0,,0.0,0.0,0.0,19.0,17.0
Big Canyon,2015,9.0,8.0,7.0,0.0,0.0,0.0,0.0,24.0,17.0
Black Butte,1976,6.0,1.0,2.0,,,,,9.0,7.0
Black Butte,1977,7.0,2.0,3.0,,,,,12.0,9.0
Black Butte,1978,9.0,3.0,3.0,,,,,15.0,12.0
Black Butte,1979,12.0,8.0,6.0,,,,,26.0,20.0
Black Butte,1980,13.0,6.0,4.0,,,,,23.0,19.0
Black Butte,1981,17.0,13.0,9.0,,,,,39.0,30.0
Black Butte,1982,10.0,9.0,7.0,,,,,26.0,19.0
Black Butte,1983,17.0,13.0,11.0,,,,,41.0,30.0
Black Butte,1984,31.0,16.0,7.0,,,,,54.0,47.0
Black Butte,1985,34.0,18.0,18.0,,,,,70.0,52.0
Black Butte,1986,37.0,24.0,25.0,,,,,86.0,61.0
Black Butte,1987,54.0,28.0,28.0,,,,,110.0,82.0
Black Butte,1988,64.0,38.0,19.0,,,,,121.0,102.0
Black Butte,1989,64.0,44.0,33.0,,,,,141.0,108.0
