Record,Pop,year,r_est,r,PopEst,TotCount,Ewes,Rams,Lambs,PneuLamb,PneuAd,PneuRam,PneuEwe
1,Asotin,1991,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA
2,Asotin,1992,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
3,Asotin,1993,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
4,Asotin,1994,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
5,Asotin,1995,0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
6,Asotin,1996,0,NA,15,10,5,2,3,NA,NA,NA,NA
7,Asotin,1997,NA,NA,27,21,13,7,1,NA,0,0,0
8,Asotin,1998,0.2,0.13,33,24,11,6,7,0,0,0,0
9,Asotin,1999,-0.03,0.19,32,29,15,6,8,0,0,0,0
10,Asotin,2000,0.12,0.16,36,34,23,8,3,0,0,0,0
11,Asotin,2001,0.15,0.06,42,36,18,9,9,0,0,0,0
12,Asotin,2002,0,0.15,42,42,23,8,11,0,0,0,0
13,Asotin,2003,0.09,0.09,46,46,22,12,12,0,0,0,0
14,Asotin,2004,0.08,-0.04,50,44,26,10,8,0,0,0,0
15,Asotin,2005,0.26,0.36,65,63,34,16,13,0,0,0,0
16,Asotin,2006,0.07,-0.05,70,60,30,20,10,0,0,0,0
17,Asotin,2007,0.25,0.29,90,80,40,27,13,0,0,0,0
18,Asotin,2008,0.09,0.15,85,93,48,27,18,0,0,0,0
19,Asotin,2009,0.21,0.21,105,100,46,37,17,0,0,0,0
20,Asotin,2010,0.05,0.06,110,101,40,38,23,0,0,0,0
21,Asotin,2011,-0.38,-0.38,75,69,25,32,12,1,1,0,1
22,Asotin,2012,-0.07,-0.08,70,64,32,27,5,2,0,0,0
23,Asotin,2013,0,0.02,70,65,29,27,9,0,0,0,0
24,Asotin,2014,-0.15,-0.19,60,54,24,17,13,0,0,0,0
25,Asotin,2015,0.22,0.29,75,72,32,24,16,0,0,0,0
26,Lostine,1970,NA,NA,20,20,12,8,0,NA,NA,NA,NA
27,Lostine,1971,0.1,NA,22,20,14,3,3,NA,NA,NA,NA
28,Lostine,1972,0.13,NA,25,19,13,3,3,NA,NA,NA,NA
29,Lostine,1973,0.47,NA,40,30,17,5,8,NA,NA,NA,NA
30,Lostine,1974,0.32,NA,55,47,25,10,12,NA,NA,NA,NA
31,Lostine,1975,0.09,NA,60,53,26,8,19,NA,NA,NA,NA
32,Lostine,1976,0.15,NA,70,60,24,17,19,NA,NA,NA,NA
33,Lostine,1977,0.17,NA,83,76,NA,NA,NA,NA,NA,NA,NA
34,Lostine,1978,0.14,NA,95,78,33,22,23,NA,NA,NA,NA
35,Lostine,1979,0,NA,95,86,37,30,19,NA,NA,NA,NA
36,Lostine,1980,0.05,NA,100,92,55,26,11,NA,NA,NA,NA
37,Lostine,1981,-0.05,NA,95,83,42,25,16,NA,NA,NA,NA
38,Lostine,1982,0.15,NA,110,93,38,28,27,NA,NA,NA,NA
39,Lostine,1983,0,NA,110,95,46,24,25,NA,NA,NA,NA
40,Lostine,1984,0,NA,110,97,58,20,19,NA,NA,NA,NA
41,Lostine,1985,-0.1,NA,100,87,46,26,15,1,1,1,1
42,Lostine,1986,-1.08,NA,34,33,19,11,2,2,NA,NA,NA
43,Lostine,1987,0.06,NA,36,36,21,13,2,2,NA,NA,NA
44,Lostine,1988,-0.09,NA,33,32,21,9,2,2,NA,NA,NA
45,Lostine,1989,0.09,NA,36,34,19,8,7,NA,NA,NA,NA
46,Lostine,1990,0.22,NA,45,40,21,10,9,NA,NA,NA,NA
47,Lostine,1991,0.2,NA,55,48,23,15,10,NA,NA,NA,NA
48,Lostine,1992,0.24,NA,70,61,30,14,17,NA,NA,NA,NA
49,Lostine,1993,0.07,NA,75,62,34,18,10,NA,NA,NA,NA
50,Lostine,1994,0,NA,75,68,33,20,15,NA,NA,NA,NA
51,Lostine,1995,0.06,NA,80,71,37,18,16,NA,NA,NA,NA
52,Lostine,1996,0.06,NA,85,76,44,21,11,NA,NA,NA,NA
53,Lostine,1997,0.11,NA,95,86,50,24,12,NA,NA,NA,NA
54,Lostine,1998,-0.12,NA,84,79,42,22,15,NA,NA,NA,NA
55,Lostine,1999,-0.11,NA,75,67,37,20,10,NA,NA,NA,NA
56,Lostine,2000,0.06,0.1,80,74,38,17,19,3,0,0,0
57,Lostine,2001,0.12,0.18,90,89,42,24,23,3,0,0,0
58,Lostine,2002,-0.12,-0.2,80,73,39,20,14,3,1,1,1
59,Lostine,2003,0,-0.01,80,72,44,24,4,2,0,0,0
60,Lostine,2004,0,0.03,80,74,38,23,13,3,0,0,0
61,Lostine,2005,0.06,0.13,85,84,38,24,22,3,0,0,0
62,Lostine,2006,0,-0.07,85,78,44,30,4,2,0,0,0
63,Lostine,2007,-0.19,-0.23,70,62,37,24,1,2,1,0,0
64,Lostine,2008,-0.07,-0.05,65,59,35,22,2,2,0,0,0
65,Lostine,2009,-0.07,-0.09,60,54,34,17,3,2,0,0,0
66,Lostine,2010,0,-0.02,60,53,33,17,3,1,0,0,0
67,Lostine,2011,0.08,0.16,65,62,36,12,14,1,0,0,0
68,Lostine,2012,0.14,0.14,75,71,36,17,18,2,NA,NA,NA
69,Lostine,2013,0,-0.1,75,64,30,19,15,2,0,0,0
70,Lostine,2014,0.13,0.1,85,71,38,19,14,2,1,NA,NA
71,Lostine,2015,0.07,0.2,91,87,45,25,17,2,0,NA,0
72,Redbird,1984,NA,NA,17,17,7,8,2,NA,NA,NA,NA
73,Redbird,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Redbird,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Redbird,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Redbird,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Redbird,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Redbird,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Redbird,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Redbird,1992,NA,NA,60,57,30,19,8,NA,NA,NA,NA
81,Redbird,1993,0,NA,60,45,25,16,4,NA,NA,NA,NA
82,Redbird,1994,0.25,NA,77,77,45,17,15,NA,NA,NA,NA
83,Redbird,1995,-0.03,NA,75,82,40,29,13,2,1,1,1
84,Redbird,1996,-0.22,NA,60,53,30,21,2,2,NA,NA,NA
85,Redbird,1997,0.35,,85,73,38,23,12,0,0,0,0
86,Redbird,1998,0,0.09,85,80,44,28,8,1,0,0,0
87,Redbird,1999,0.06,0.07,90,86,46,29,11,1,0,0,0
88,Redbird,2000,0.37,0.35,130,122,56,36,30,0,0,0,0
89,Redbird,2001,0,-0.01,130,121,61,50,10,0,0,0,0
90,Redbird,2002,0,0.19,150,147,66,42,39,0,0,0,0
91,Redbird,2003,0,-0.12,140,130,77,42,11,1,0,0,0
92,Redbird,2004,0,-0.14,130,113,74,29,10,1,0,0,0
93,Redbird,2005,0,0.04,130,118,80,31,7,1,0,0,0
94,Redbird,2006,0,-0.01,130,117,65,38,14,0,1,1,1
95,Redbird,2007,-0.12,-0.25,115,91,57,33,1,1,1,0,1
96,Redbird,2008,0,0.2,115,111,67,35,9,1,0,0,0
97,Redbird,2009,0,-0.02,115,109,59,39,17,1,0,0,0
98,Redbird,2010,-0.14,-0.14,105,95,69,17,9,1,0,0,0
99,Redbird,2011,-0.11,-0.1,95,85,58,19,8,1,0,0,0
100,Redbird,2012,0,0.07,95,91,63,22,8,1,NA,NA,NA
101,Redbird,2013,0,0.01,95,92,53,31,8,1,NA,NA,NA
