feature,score
Lambs,0.19674002474232452
Area,0.12308937400211362
PopTot,0.08670939641969727
PopAdults,0.0861480369116771
Perimeter,0.08602401959123963
Rams,0.07504144517549621
Ewes,0.071004383610307
VisRams,0.05623393305401697
VisEwes,0.03155280784856319
Visitors,0.0310205784492309
VisR,0.030321300431191568
VisT,0.027024251092855795
VisRT,0.023612464453714815
Translocation,0.01844125621802462
T,0.016610050693279234
TypeVac,0.013703710471417642
NonResident,0.011831778519866911
TypeBoth,0.010417353540625991
TypeSupp,0.003936742338633595
RT,0.0005370924357233104
