Herd,Year,NonResident,RT,T
Imnaha,2000,0,0,0
Imnaha,1997,0,0,0
Imnaha,1995,0,0,0
Imnaha,1996,0,0,0
Imnaha,2001,0,0,0
Imnaha,2002,0,0,0
Imnaha,2003,0,0,0
Imnaha,1999,0,0,0
Imnaha,2004,0,0,0
Imnaha,2005,0,0,0
Imnaha,2006,0,0,0
Imnaha,2007,0,0,0
Imnaha,2008,0,0,0
Imnaha,2010,0,0,0
Imnaha,2011,0,0,0
Imnaha,2012,0,0,0
Imnaha,2013,0,0,0
Imnaha,2015,0,0,0
Imnaha,2014,0,0,0
Wenaha,2000,0,0,0
Wenaha,1997,0,0,0
Wenaha,1995,0,0,0
Wenaha,1996,0,0,0
Wenaha,2001,0,0,0
Wenaha,2002,0,0,0
Wenaha,2003,0,0,0
Wenaha,1999,0,0,0
Wenaha,2004,0,0,0
Wenaha,2005,0,0,0
Wenaha,2006,0,0,0
Wenaha,2007,0,0,0
Wenaha,2008,0,0,0
Wenaha,2010,0,0,0
Wenaha,2011,0,0,0
Wenaha,2012,0,0,0
Wenaha,2013,0,0,0
Wenaha,2015,0,0,0
Wenaha,2014,0,0,0
Lostine,2000,0,0,0
Lostine,1997,0,0,0
Lostine,1995,0,0,0
Lostine,1996,0,0,0
Lostine,2001,1,1,0
Lostine,2002,0,0,0
Lostine,2003,1,1,0
Lostine,1999,0,0,0
Lostine,2004,0,0,0
Lostine,2005,0,0,0
Lostine,2006,0,0,0
Lostine,2007,0,0,0
Lostine,2008,0,0,0
Lostine,2010,0,0,0
Lostine,2011,0,0,0
Lostine,2012,0,0,0
Lostine,2013,0,0,0
Lostine,2015,0,0,0
Lostine,2014,0,0,0
Minam,2000,1,0,1
Minam,1997,0,0,0
Minam,1995,0,0,0
Minam,1996,0,0,0
Minam,2001,0,0,0
Minam,2002,0,0,0
Minam,2003,0,0,0
Minam,1999,0,0,0
Minam,2004,0,0,0
Minam,2005,0,0,0
Minam,2006,0,0,0
Minam,2007,0,0,0
Minam,2008,0,0,0
Minam,2010,0,0,0
Minam,2011,0,0,0
Minam,2012,0,0,0
Minam,2013,0,0,0
Minam,2015,0,0,0
Minam,2014,0,0,0
Sheep Divide,2000,1,0,1
Sheep Divide,1997,0,0,0
Sheep Divide,1995,0,0,0
Sheep Divide,1996,0,0,0
Sheep Divide,2001,0,0,0
Sheep Divide,2002,0,0,0
