Herd,Year,Visitors,VisEwes,VisRams,VisR,VisRT,VisT
Sheep Mountain,1997,0,0,0,0,0,0
Sheep Mountain,1998,0,0,0,0,0,0
Sheep Mountain,1999,2,0,2,0,2,0
Sheep Mountain,2000,0,0,0,0,0,0
Sheep Mountain,2001,1,0,1,0,1,0
Sheep Mountain,2002,0,0,0,0,0,0
Sheep Mountain,2003,0,0,0,0,0,0
Sheep Mountain,2004,0,0,0,0,0,0
Sheep Mountain,2005,0,0,0,0,0,0
Sheep Mountain,2006,0,0,0,0,0,0
Sheep Mountain,2007,0,0,0,0,0,0
Sheep Mountain,2008,0,0,0,0,0,0
Sheep Mountain,2009,0,0,0,0,0,0
Sheep Mountain,2010,0,0,0,0,0,0
Sheep Mountain,2011,1,1,0,1,0,0
Sheep Mountain,2012,0,0,0,0,0,0
Upper Hells Canyon ID,1997,0,0,0,0,0,0
Upper Hells Canyon ID,1998,0,0,0,0,0,0
Upper Hells Canyon ID,1999,11,6,5,0,9,2
Upper Hells Canyon ID,2000,11,9,2,0,8,3
Upper Hells Canyon ID,2001,7,4,3,0,6,1
Upper Hells Canyon ID,2002,9,6,3,0,9,0
Upper Hells Canyon ID,2003,1,0,1,0,1,0
Upper Hells Canyon ID,2004,0,0,0,0,0,0
Upper Hells Canyon ID,2005,0,0,0,0,0,0
Upper Hells Canyon ID,2006,0,0,0,0,0,0
Upper Hells Canyon ID,2007,0,0,0,0,0,0
Upper Hells Canyon ID,2008,0,0,0,0,0,0
Upper Hells Canyon ID,2009,0,0,0,0,0,0
Upper Hells Canyon ID,2010,0,0,0,0,0,0
Upper Hells Canyon ID,2011,0,0,0,0,0,0
Upper Hells Canyon ID,2012,2,1,1,2,0,0
Upper Hells Canyon OR,1997,0,0,0,0,0,0
Upper Hells Canyon OR,1998,0,0,0,0,0,0
Upper Hells Canyon OR,1999,16,10,6,0,15,1
Upper Hells Canyon OR,2000,17,13,4,0,12,5
Upper Hells Canyon OR,2001,14,11,3,0,7,7
Upper Hells Canyon OR,2002,15,10,5,0,11,4
Upper Hells Canyon OR,2003,8,5,3,0,5,3
Upper Hells Canyon OR,2004,9,7,2,0,6,3
Upper Hells Canyon OR,2005,8,6,2,0,6,2
Upper Hells Canyon OR,2006,8,5,3,1,6,1
Upper Hells Canyon OR,2007,4,3,1,1,2,1
Upper Hells Canyon OR,2008,2,1,1,0,2,0
Upper Hells Canyon OR,2009,1,0,1,1,0,0
Upper Hells Canyon OR,2010,1,0,1,1,0,0
Upper Hells Canyon OR,2011,1,0,1,1,0,0
Upper Hells Canyon OR,2012,3,0,3,3,0,0
Lostine,1997,0,0,0,0,0,0
Lostine,1998,0,0,0,0,0,0
Lostine,1999,0,0,0,0,0,0
Lostine,2000,4,4,0,0,0,4
Lostine,2001,3,2,1,0,1,2
Lostine,2002,4,2,2,0,2,2
