Animal ID,Herd,Frequency,Sex,Source,EntryDate,ENTRY_MONTH,ENTRY_BIOYR,DOB,AgeatEntry,DLS,DateLastSeen,AgeLastSeen,Dead,END_BIOYR,Mortality Date,MORT_BIOYR,Cause,CollarEnd,EndPopulation,EweGroup,Comments,ToothAge
00I37,Imnaha,150.53,F,R,1/23/2000,1,1999,5/15/1995,4.7,12/2/2000,02-Dec-00,5.6,1,2000,02-Dec-00,2000,PN,,IM,,,Yes
00I44,Imnaha,150.18,F,R,1/23/2000,1,1999,5/15/1996,3.7,3/24/2006,24-Mar-06,9.9,1,2005,24-Mar-06,2005,INJ,,IM,,,No
00I49,Imnaha,151.62,M,R,1/23/2000,1,1999,5/15/1995,4.7,10/19/2004,19-Oct-04,9.4,1,2004,20-Oct-04,2004,HU,,IM,,,No
00I50,Imnaha,150.30,F,R,1/23/2000,1,1999,5/15/1995,4.7,10/30/2004,30-Oct-04,9.5,1,2004,30-Oct-04,2004,INJ,,IM,,,Yes
00I56,Imnaha,150.25,F,R,1/23/2000,1,1999,5/15/1999,0.7,7/13/2009,13-Jul-09,10.2,2,2009,,,DRC,6/16/2004,IM,,,No
00I58,Imnaha,150.10,F,R,1/23/2000,1,1999,5/15/1996,3.7,12/20/2003,20-Dec-03,7.6,1,2003,13-Dec-03,2003,PR,,IM,,,Yes
00I59,Imnaha,151.54,F,R,1/23/2000,1,1999,5/15/1995,4.7,7/23/2008,23-Jul-08,13.2,2,2008,,,DRC,2/25/2006,IM,,,No
00I60,Imnaha,150.59,F,R,1/23/2000,1,1999,5/15/1995,4.7,4/16/2007,16-Apr-07,11.9,2,2006,,,DC,,IM,,,No
00I61,Imnaha,150.48,F,R,1/23/2000,1,1999,5/15/1998,1.7,2/1/2008,01-Feb-08,9.7,1,2007,01-Feb-08,2007,UNK,,IM,,,No
00I63,Imnaha,150.37,F,R,1/23/2000,1,1999,5/15/1995,4.7,9/25/2008,25-Sep-08,13.4,1,2008,25-Sep-08,2008,UNK,,IM,,,Yes
00I64,Imnaha,150.84,F,R,1/23/2000,1,1999,5/15/1997,2.7,7/1/2000,01-Jul-00,3.1,1,2000,01-Jul-00,2000,INJ,,IM,,,Yes
00I67,Imnaha,151.65,F,R,1/23/2000,1,1999,5/15/1995,4.7,7/23/2008,23-Jul-08,13.2,2,2008,01-Jan-11,2010,DC,12/1/2004,IM,,,Yes
00I69,Imnaha,151.88,F,R,1/23/2000,1,1999,5/15/1995,4.7,3/10/2000,10-Mar-00,4.8,1,1999,10-Mar-00,1999,PR,,IM,,,No
00W08,Wenaha,150.00,F,R,1/23/2000,1,1999,5/15/1990,9.7,2/1/2008,01-Feb-08,17.7,1,2007,02-Feb-08,2007,INJ,,WE,,,Yes
00W09,Wenaha,150.05,M,R,1/23/2000,1,1999,5/15/1995,4.7,10/26/2000,26-Oct-00,5.5,1,2000,26-Oct-00,2000,INJ,,WE,,,Yes
00W10,Wenaha,150.18,M,R,1/23/2000,1,1999,5/15/1997,2.7,4/26/2007,26-Apr-07,10,2,2006,,,DC,11/12/2002,WE,,,No
00W11,Wenaha,150.30,M,R,1/23/2000,1,1999,5/15/1994,5.7,3/23/2005,23-Mar-05,10.9,2,2004,,,DC,4/10/2001,WE,,,No
00W12,Wenaha,150.49,M,R,1/23/2000,1,1999,5/15/1994,5.7,12/13/2000,13-Dec-00,6.6,1,2000,13-Dec-00,2000,PN,,WE,,,No
00W13,Wenaha,150.55,M,R,1/23/2000,1,1999,5/15/1997,2.7,4/10/2006,10-Apr-06,8.9,2,2005,,,DRC,9/2/2004,WE,,,No
00W20,Wenaha,151.40,M,R,1/23/2000,1,1999,5/15/1998,1.7,4/10/2006,10-Apr-06,7.9,2,2005,,,DRC,12/15/2003,WE,,,No
00I42,Imnaha,150.35,M,R,1/24/2000,1,1999,5/15/1996,3.7,11/6/2007,06-Nov-07,11.5,2,2007,,,DRC,11/13/2002,IM,,,No
00I43,Imnaha,151.72,F,R,1/24/2000,1,1999,5/15/1995,4.7,3/2/2004,02-Mar-04,8.8,1,2003,02-Mar-04,2003,PN,,IM,,,Yes
00I48,Imnaha,150.49,F,R,1/24/2000,1,1999,5/15/1996,3.7,2/22/2004,22-Feb-04,7.8,1,2003,22-Feb-04,2003,PN,,IM,,,Yes
00I55,Imnaha,150.16,M,R,1/24/2000,1,1999,5/15/1995,4.7,7/26/2000,26-Jul-00,5.2,1,2000,26-Jul-00,2000,INJ,,IM,,,No
00I57,Imnaha,150.64,M,R,1/24/2000,1,1999,5/15/1998,1.7,3/4/2004,04-Mar-04,5.8,2,2003,,,DC,6/1/2001,IM,,,No
00I62,Imnaha,150.42,M,R,1/24/2000,1,1999,5/15/1996,3.7,9/28/2000,28-Sep-00,4.4,1,2000,28-Sep-00,2000,PN,,IM,,,No
00I68,Imnaha,150.46,M,R,1/24/2000,1,1999,5/15/1997,2.7,10/18/2003,18-Oct-03,6.4,1,2003,18-Oct-03,2003,HU,,IM,,,No
00L08,Lostine,150.42,F,R,1/27/2000,1,1999,5/15/1995,4.7,4/27/2005,27-Apr-05,10,1,2004,27-Apr-05,2004,PR,,LO,,,No
00L16,Lostine,151.92,F,R,1/27/2000,1,1999,5/15/1990,9.7,11/20/2010,20-Nov-10,20.5,1,2010,19-Nov-10,2010,UNK,,LO,,,Yes
00L27,Lostine,151.65,F,R,1/27/2000,1,1999,5/15/1995,4.7,1/26/2005,26-Jan-05,9.7,1,2004,26-Jan-05,2004,UNK,,LO,,,No
00L37,Lostine,150.36,M,R,1/27/2000,1,1999,5/15/1994,5.7,9/16/2002,16-Sep-02,8.3,1,2002,16-Sep-02,2002,HU,,LO,,,No
00MI27,Minam,151.93,F,T,2/8/2000,2,1999,5/15/1993,6.7,9/8/2000,08-Sep-00,7.3,1,2000,08-Sep-00,2000,PN,,WE,,TO GRANDE RONDE 4/27/00 PN,Yes
00MI34,Minam,151.16,F,T,2/8/2000,2,1999,5/15/1996,3.7,3/5/2001,05-Mar-01,4.8,1,2000,05-Mar-01,2000,PN,,WE,,TO GRANDE RONDE 6/19/00 PN,Yes
00MI35,Minam,151.76,M,T,2/8/2000,2,1999,5/15/1998,1.7,4/20/2000,20-Apr-00,1.9,2,1999,,,HU,,MI,,REMOVED,No
00MI37,Minam,151.39,F,T,2/8/2000,2,1999,5/15/1999,0.7,8/19/2000,19-Aug-00,1.3,1,2000,19-Aug-00,2000,UNK,,MV,,GRANDE RONDE 4/27/00 UNK,No
00MI41,Minam,151.42,F,T,2/8/2000,2,1999,5/15/1996,3.7,8/20/2005,20-Aug-05,9.3,1,2005,20-Aug-05,2005,UNK,,UHCOR,,UHC 8/5/00 UNK,Yes
00MI42,Minam,151.45,F,T,2/8/2000,2,1999,5/15/1998,1.7,5/20/2013,20-May-13,15,2,2013,,,DC,,LO,,"TO LOSTINE 6/8/01, collar dropped ovv June 2012",No
