Date,Source State/Province,Source Population,Release State,Release population,Males,Females,Male lambs,Female lambs,Total,Type
13-Dec-97,BC,Spence’s Bridge,ID,Big Canyon Cr.,3,12,0,1,16,Vacant habitat
13-Dec-97,BC,Spence’s Bridge,OR,Muir Creek,4,7,0,2,13,Vacant habitat
13-Dec-97,BC,Spence’s Bridge,WA,Asotin Creek,2,7,0,1,10,Supplement
13-Jan-99,OR,Lostine,OR,McGraw,6,8,0,1,15,Vacant habitat
10-Feb-99,AB,Hinton (Cadomin Mine),ID,Big Canyon Cr.,3,3,0,0,6,Supplement
10-Feb-99,AB,Hinton (Cadomin Mine),OR,Muir Creek,0,11,3,0,14,Supplement
8-Feb-00,AB,Hinton (Cadomin Mine),OR,Sheep Divide,3,12,3,2,20,Vacant habitat
8-Feb-00,AB,Hinton (Cadomin Mine),OR,Minam,3,12,1,2,18,Vacant habitat
1-Dec-01,OR,Lostine,OR,Quartz Cr.,3,11,0,1,15,Vacant habitat
13-Feb-02,MT,Havre (Missouri R.),ID,Myers Cr.,4,16,0,0,20,Vacant habitat
2-Feb-05,OR,Lostine,OR,Imnaha,0,5,0,1,6,Supplement
5-Feb-11,WA,Asotin Creek,WA,Tucannon,0,5,0,0,5,Supplement
30-Nov-11,OR,Lookout,OR,Downey Saddle,2,10,0,0,12,Vacant habitat
16-Dec-14,OR,Lookout,WA,Tucannon,2,0,0,0,2,Supplement
13-Jan-16,OR,Lookout,WA,Tucannon,0,7,0,0,7,Supplement
1-Apr-16,MT,National Bison Range,WA,Tucannon,0,1,5,5,11,Supplement
